#output file from hmmloop.sh

440 Control1protein.fasta sequence10.fasta-align.hmm
599 Control2protein.fasta sequence10.fasta-align.hmm
1367 Obese1protein.fasta sequence10.fasta-align.hmm
1319 Obese2protein.fasta sequence10.fasta-align.hmm
440 Control1protein.fasta sequence1.fasta-align.hmm
599 Control2protein.fasta sequence1.fasta-align.hmm
1367 Obese1protein.fasta sequence1.fasta-align.hmm
1319 Obese2protein.fasta sequence1.fasta-align.hmm
440 Control1protein.fasta sequence2.fasta-align.hmm
599 Control2protein.fasta sequence2.fasta-align.hmm
1367 Obese1protein.fasta sequence2.fasta-align.hmm
1319 Obese2protein.fasta sequence2.fasta-align.hmm
440 Control1protein.fasta sequence6.fasta-align.hmm
599 Control2protein.fasta sequence6.fasta-align.hmm
1367 Obese1protein.fasta sequence6.fasta-align.hmm
1319 Obese2protein.fasta sequence6.fasta-align.hmm
440 Control1protein.fasta sequence8.fasta-align.hmm
599 Control2protein.fasta sequence8.fasta-align.hmm
1367 Obese1protein.fasta sequence8.fasta-align.hmm
1319 Obese2protein.fasta sequence8.fasta-align.hmm
440 Control1protein.fasta sequence9.fasta-align.hmm
599 Control2protein.fasta sequence9.fasta-align.hmm
1367 Obese1protein.fasta sequence9.fasta-align.hmm
1319 Obese2protein.fasta sequence9.fasta-align.hmm
